dt,hour,compound,positive,neutral,negative
2016-04-23,9.0,0.17910719298245528,0.10261315789473646,0.8690508771929832,0.02833684210526316
2016-04-14,22.0,0.24753750000000008,0.12146875,0.8717812500000002,0.00675
2016-04-16,16.0,0.08354615384615385,0.060230769230769234,0.8985384615384616,0.041153846153846145
2016-04-24,2.0,0.17986475138121602,0.10859005524861845,0.8635149171270726,0.027899447513812174
2016-04-24,19.0,0.1947544378698219,0.11117159763313605,0.8661905325443798,0.022644970414201205
2016-04-15,19.0,0.29196250000000007,0.13740624999999998,0.8583124999999998,0.00428125
2016-04-24,12.0,0.19772092414995507,0.10769485614646902,0.8725353095030502,0.019772449869224072
2016-04-23,20.0,0.20619083333333313,0.11081851851851829,0.8682814814814829,0.020900000000000012
2016-04-15,18.0,0.2466391304347826,0.1838695652173913,0.7562173913043478,0.05991304347826087
2016-04-15,12.0,0.3515976190476191,0.17135714285714276,0.8259999999999998,0.0026666666666666666
2016-04-24,10.0,0.21438784194528848,0.12278318135764922,0.8561337386018258,0.02108409321175281
2016-04-19,3.0,0.34561249999999993,0.19337499999999996,0.776875,0.02975
2016-04-14,21.0,0.06850280373831776,0.042588785046728965,0.9536355140186915,0.0037757009345794393
2016-04-15,10.0,0.25938374999999997,0.1328749999999999,0.8573999999999996,0.009725000000000001
2016-04-15,3.0,0.313608695652174,0.15321739130434783,0.8251304347826086,0.021608695652173913
2016-04-19,1.0,0.3809380952380953,0.20900000000000002,0.7605714285714287,0.03042857142857143
2016-04-15,1.0,0.19924324324324322,0.11013513513513513,0.8721351351351351,0.017729729729729728
2016-04-15,21.0,0.30335,0.11649999999999999,0.861625,0.021875
2016-04-16,18.0,0.21286785714285714,0.14403571428571427,0.8152857142857144,0.04067857142857143
2016-04-22,23.0,0.15177077577045658,0.09607438894792782,0.8751987247608916,0.02873007438894796
2016-04-14,23.0,0.1524128205128205,0.0878974358974359,0.8990512820512822,0.013076923076923078
2016-04-15,16.0,0.11032461538461541,0.05730769230769231,0.9304000000000002,0.012276923076923078
2016-04-23,4.0,0.05423673012318025,0.06713997760358359,0.8903695408734617,0.04249384098544259
2016-04-14,19.0,0.05655280898876405,0.04004494382022472,0.9498764044943817,0.010078651685393259
2016-04-15,14.0,0.3064277777777778,0.16519444444444442,0.8103888888888889,0.024416666666666663
2016-04-23,6.0,0.21505236966824634,0.11168009478672979,0.8683933649289112,0.019927725118483425
2016-04-23,22.0,0.2264050000000005,0.13211739130434783,0.8371021739130449,0.030784782608695677
2016-04-23,0.0,0.20293392461197274,0.11439135254988902,0.8610909090909084,0.024524390243902464
2016-04-23,21.0,0.1899989159891602,0.11560614272809358,0.853156278229451,0.031239385727190573
2016-04-14,4.0,0.117345,0.08365,0.89255,0.023799999999999998
2016-04-14,3.0,0.21902142857142856,0.09292857142857143,0.893,0.014071428571428572
2016-04-24,13.0,0.18903007518796933,0.10079365079365067,0.8835288220551372,0.015674185463659163
2016-04-15,9.0,0.12261578947368423,0.07434210526315788,0.9040131578947368,0.021644736842105262
2016-04-23,17.0,0.21688711484593703,0.12565732959850592,0.8471746031746045,0.027169934640522895
2016-04-15,13.0,0.2273933333333334,0.11516666666666668,0.8728999999999999,0.011933333333333332
2016-04-14,16.0,0.29680000000000006,0.1559375,0.821625,0.0224375
2016-04-15,4.0,0.23806750000000002,0.17572499999999996,0.77225,0.052025
2016-04-24,11.0,0.2252402597402592,0.11809090909090894,0.8636113886113905,0.018298701298701325
2016-04-19,2.0,0.16842916666666666,0.12929166666666667,0.7985833333333333,0.072125
2016-04-15,7.0,0.1421819148936171,0.0769574468085106,0.9120851063829786,0.010957446808510638
2016-04-14,15.0,0.17337142857142857,0.060357142857142866,0.9396428571428571,0.0
2016-04-23,15.0,0.20295648476257896,0.1128982990786672,0.8692831325301195,0.01782282069454289
2016-04-15,2.0,0.24850476190476187,0.10452380952380953,0.8954761904761904,0.0
2016-04-23,2.0,0.1817638530287981,0.11236146971201574,0.8620069513406147,0.02563455809334656
2016-04-19,0.0,0.21785,0.12758333333333333,0.8390000000000001,0.03341666666666667
2016-04-15,5.0,0.296134090909091,0.17488636363636356,0.797022727272727,0.028113636363636372
2016-04-14,17.0,0.22558285714285714,0.1534285714285714,0.7968571428571426,0.04971428571428571
2016-04-22,21.0,0.11645308310991943,0.0939571045576408,0.8576707774798933,0.04837319034852547
2016-04-15,0.0,0.2589181818181818,0.1318181818181818,0.8552727272727272,0.012863636363636365
2016-04-15,20.0,0.3046700000000001,0.14912499999999995,0.8427749999999999,0.0081
2016-04-15,11.0,0.20997192982456145,0.12499999999999997,0.8405789473684209,0.03443859649122807
2016-04-22,22.0,0.2417741591468389,0.1266333059885151,0.8504799015586533,0.022899917965545524
2016-04-16,20.0,0.28177352941176476,0.1332941176470588,0.8526176470588237,0.014117647058823528
2016-04-23,13.0,0.19145083996463244,0.10719540229885022,0.8752130857648124,0.01759151193633955
2016-04-15,17.0,0.3428652173913044,0.16921739130434782,0.8262608695652172,0.004521739130434782
2016-04-23,5.0,0.20991822173435706,0.12031723380900065,0.8496695938529099,0.030016465422612555
2016-04-14,18.0,0.16216756756756756,0.10535135135135135,0.8718378378378377,0.022837837837837837
2016-04-24,7.0,0.2127276527331187,0.11488638799571227,0.8628971061093268,0.02221650589496251
2016-04-23,11.0,0.2357204633204624,0.12741023166023144,0.8544140926640914,0.018174710424710448
2016-04-15,15.0,0.2695699999999999,0.14766666666666667,0.8294000000000001,0.02293333333333333
2016-04-23,7.0,0.30150599999999766,0.15203789473684146,0.8301842105263153,0.01777894736842105
